name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site0_rot0,0,top,0.0,-149.04742431640625,-149.0963897705078,-0.12491989135742188,15,True
site1_rot0,1,top,0.0,-149.04742431640625,-149.0963897705078,-0.12491989135742188,15,True
site0_rot45,0,top,45.0,-149.04598999023438,-149.0957489013672,-0.12427902221679688,16,True
site0_rot135,0,top,135.0,-149.04534912109375,-149.09454345703125,-0.12307357788085938,14,True
site0_rot90,0,top,90.0,-149.04348754882812,-149.09376525878906,-0.12229537963867188,15,True
