name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site0_rot135,0,top,135.0,-116.19522094726562,-116.19752502441406,-0.025455474853515625,9,True
site0_rot0,0,top,0.0,-116.19519805908203,-116.19751739501953,-0.025447845458984375,9,True
site1_rot0,1,top,0.0,-116.19519805908203,-116.19751739501953,-0.025447845458984375,9,True
site0_rot90,0,top,90.0,-116.1951904296875,-116.19749450683594,-0.025424957275390625,9,True
site0_rot45,0,top,45.0,-116.19517517089844,-116.1974868774414,-0.025417327880859375,9,True
