name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site0_rot90,0,top,90.0,-132.2301483154297,-132.25238037109375,-0.05094337463378906,9,True
site0_rot135,0,top,135.0,-132.22998046875,-132.25228881835938,-0.05085182189941406,9,True
site0_rot0,0,top,0.0,-132.2293701171875,-132.25192260742188,-0.05048561096191406,9,True
site1_rot0,1,top,0.0,-132.2293701171875,-132.25192260742188,-0.05048561096191406,9,True
site0_rot45,0,top,45.0,-132.22915649414062,-132.25164794921875,-0.05021095275878906,9,True
