name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site9_rot4,9,bridge,4.0,-116.19599151611328,-116.70051574707031,-0.5284461975097656,87,True
site0_rot4,0,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site1_rot4,1,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site2_rot4,2,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site3_rot4,3,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site4_rot4,4,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site5_rot4,5,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site6_rot4,6,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site7_rot4,7,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
site8_rot4,8,top,4.0,-116.19520568847656,-116.19752502441406,-0.025455474853515625,9,True
