      Step     Time          Energy          fmax
BFGS:    0 04:56:43      -45.841888        1.277978
BFGS:    1 04:56:43      -45.872986        0.774595
BFGS:    2 04:56:43      -45.892620        0.749374
BFGS:    3 04:56:43      -45.942474        0.757635
BFGS:    4 04:56:43      -45.957928        0.570920
BFGS:    5 04:56:43      -45.994827        0.466522
BFGS:    6 04:56:43      -46.002163        0.396613
BFGS:    7 04:56:43      -46.015331        0.330768
BFGS:    8 04:56:43      -46.027679        0.303147
BFGS:    9 04:56:43      -46.032330        0.271219
BFGS:   10 04:56:43      -46.036636        0.228390
BFGS:   11 04:56:43      -46.042782        0.310117
BFGS:   12 04:56:43      -46.051483        0.386421
BFGS:   13 04:56:43      -46.063988        0.498524
BFGS:   14 04:56:43      -46.077644        0.491360
BFGS:   15 04:56:43      -46.089863        0.372094
BFGS:   16 04:56:43      -46.101818        0.301134
BFGS:   17 04:56:43      -46.112057        0.214532
BFGS:   18 04:56:43      -46.113850        0.548744
BFGS:   19 04:56:43      -46.117619        0.333145
BFGS:   20 04:56:43      -46.119408        0.172151
BFGS:   21 04:56:43      -46.124424        0.275250
BFGS:   22 04:56:43      -46.129566        0.394402
BFGS:   23 04:56:43      -46.133610        0.327578
BFGS:   24 04:56:43      -46.136349        0.217885
BFGS:   25 04:56:43      -46.138191        0.117568
BFGS:   26 04:56:43      -46.139923        0.129215
BFGS:   27 04:56:44      -46.141769        0.197971
BFGS:   28 04:56:44      -46.142567        0.127627
BFGS:   29 04:56:44      -46.143360        0.065122
BFGS:   30 04:56:44      -46.143597        0.038539
