      Step     Time          Energy          fmax
BFGS:    0 04:56:47      -45.895023        1.033315
BFGS:    1 04:56:47      -45.926525        0.621226
BFGS:    2 04:56:47      -45.946716        0.545920
BFGS:    3 04:56:47      -45.964252        0.443322
BFGS:    4 04:56:47      -45.977333        0.494486
BFGS:    5 04:56:47      -45.995293        0.600997
BFGS:    6 04:56:47      -46.012123        0.540380
BFGS:    7 04:56:47      -46.025848        0.352854
BFGS:    8 04:56:47      -46.031166        0.280716
BFGS:    9 04:56:47      -46.043282        0.290657
BFGS:   10 04:56:47      -46.049580        0.284187
BFGS:   11 04:56:47      -46.054195        0.251745
BFGS:   12 04:56:47      -46.059708        0.259613
BFGS:   13 04:56:47      -46.067085        0.309114
BFGS:   14 04:56:47      -46.076363        0.494928
BFGS:   15 04:56:47      -46.087559        0.369847
BFGS:   16 04:56:47      -46.098522        0.547727
BFGS:   17 04:56:47      -46.111362        0.324340
BFGS:   18 04:56:47      -46.123116        0.436989
BFGS:   19 04:56:47      -46.131290        0.183764
BFGS:   20 04:56:47      -46.132584        0.187000
BFGS:   21 04:56:47      -46.133354        0.118000
BFGS:   22 04:56:47      -46.134609        0.209430
BFGS:   23 04:56:47      -46.137615        0.308878
BFGS:   24 04:56:47      -46.141418        0.288808
BFGS:   25 04:56:47      -46.144730        0.186930
BFGS:   26 04:56:47      -46.147472        0.166262
BFGS:   27 04:56:47      -46.150600        0.271585
BFGS:   28 04:56:47      -46.153034        0.354205
BFGS:   29 04:56:47      -46.156975        0.352535
BFGS:   30 04:56:47      -46.160629        0.215474
BFGS:   31 04:56:47      -46.163025        0.107361
BFGS:   32 04:56:47      -46.164814        0.147333
BFGS:   33 04:56:47      -46.162296        0.484855
BFGS:   34 04:56:47      -46.168758        0.261742
BFGS:   35 04:56:47      -46.171131        0.223823
BFGS:   36 04:56:47      -46.175037        0.322676
BFGS:   37 04:56:47      -46.179493        0.153038
BFGS:   38 04:56:47      -46.185345        0.209971
BFGS:   39 04:56:47      -46.189049        0.431796
BFGS:   40 04:56:47      -46.194561        0.309537
BFGS:   41 04:56:47      -46.202660        0.393066
BFGS:   42 04:56:47      -46.212986        0.521796
BFGS:   43 04:56:47      -46.208790        0.451162
BFGS:   44 04:56:47      -46.222954        0.277329
BFGS:   45 04:56:47      -46.224606        0.312456
BFGS:   46 04:56:48      -46.227066        0.098283
BFGS:   47 04:56:48      -46.227875        0.101361
BFGS:   48 04:56:48      -46.228661        0.101460
BFGS:   49 04:56:48      -46.229259        0.118610
BFGS:   50 04:56:48      -46.230167        0.130704
BFGS:   51 04:56:48      -46.230988        0.123780
BFGS:   52 04:56:48      -46.231762        0.095210
BFGS:   53 04:56:48      -46.232212        0.079051
BFGS:   54 04:56:48      -46.232582        0.075392
BFGS:   55 04:56:48      -46.233093        0.069541
BFGS:   56 04:56:48      -46.233829        0.097222
BFGS:   57 04:56:48      -46.234680        0.097312
BFGS:   58 04:56:48      -46.235504        0.075805
BFGS:   59 04:56:48      -46.236427        0.099062
BFGS:   60 04:56:48      -46.237625        0.139075
BFGS:   61 04:56:48      -46.239315        0.168316
BFGS:   62 04:56:48      -46.241337        0.257940
BFGS:   63 04:56:48      -46.243359        0.191713
BFGS:   64 04:56:48      -46.246937        0.215019
BFGS:   65 04:56:48      -46.252106        0.416847
BFGS:   66 04:56:48      -46.245945        0.767739
BFGS:   67 04:56:48      -46.256802        0.204078
BFGS:   68 04:56:48      -46.258526        0.069313
BFGS:   69 04:56:48      -46.259796        0.240368
BFGS:   70 04:56:48      -46.260818        0.164386
BFGS:   71 04:56:48      -46.263081        0.112283
BFGS:   72 04:56:48      -46.264481        0.127130
BFGS:   73 04:56:48      -46.266151        0.123960
BFGS:   74 04:56:48      -46.266685        0.082679
BFGS:   75 04:56:48      -46.266827        0.076791
BFGS:   76 04:56:48      -46.266407        0.154983
BFGS:   77 04:56:48      -46.267044        0.032249
