      Step     Time          Energy          fmax
BFGS:    0 04:56:44      -45.820389        1.522295
BFGS:    1 04:56:44      -45.856926        0.814022
BFGS:    2 04:56:44      -45.876629        0.715843
BFGS:    3 04:56:44      -45.929035        0.983254
BFGS:    4 04:56:44      -45.945591        0.589775
BFGS:    5 04:56:44      -45.979874        0.421462
BFGS:    6 04:56:44      -45.995766        0.367689
BFGS:    7 04:56:44      -46.005234        0.482659
BFGS:    8 04:56:44      -46.022079        0.423877
BFGS:    9 04:56:44      -46.031075        0.285883
BFGS:   10 04:56:44      -46.036358        0.258278
BFGS:   11 04:56:44      -46.042645        0.244225
BFGS:   12 04:56:44      -46.050682        0.351455
BFGS:   13 04:56:44      -46.060654        0.422433
BFGS:   14 04:56:44      -46.072987        0.454803
BFGS:   15 04:56:44      -46.084034        0.388044
BFGS:   16 04:56:44      -46.093399        0.325007
BFGS:   17 04:56:44      -46.102448        0.211613
BFGS:   18 04:56:44      -46.107872        0.360092
BFGS:   19 04:56:44      -46.111275        0.456857
BFGS:   20 04:56:44      -46.114426        0.220629
BFGS:   21 04:56:44      -46.119122        0.367667
BFGS:   22 04:56:44      -46.128677        0.663401
BFGS:   23 04:56:44      -46.140057        0.644248
BFGS:   24 04:56:44      -46.149376        0.838082
BFGS:   25 04:56:44      -46.157555        0.235066
BFGS:   26 04:56:44      -46.167637        0.552624
BFGS:   27 04:56:44      -46.176750        0.421331
BFGS:   28 04:56:44      -46.185070        0.230834
BFGS:   29 04:56:44      -46.190845        0.362605
BFGS:   30 04:56:44      -46.189072        0.554214
BFGS:   31 04:56:44      -46.194641        0.128134
BFGS:   32 04:56:44      -46.195190        0.099498
BFGS:   33 04:56:44      -46.196789        0.110053
BFGS:   34 04:56:44      -46.197536        0.104496
BFGS:   35 04:56:44      -46.198372        0.093995
BFGS:   36 04:56:44      -46.198872        0.069114
BFGS:   37 04:56:44      -46.199280        0.075975
BFGS:   38 04:56:44      -46.199852        0.094283
BFGS:   39 04:56:44      -46.200947        0.127311
BFGS:   40 04:56:44      -46.202858        0.150780
BFGS:   41 04:56:44      -46.205334        0.138346
BFGS:   42 04:56:44      -46.207241        0.120442
BFGS:   43 04:56:44      -46.208088        0.084867
BFGS:   44 04:56:44      -46.208366        0.153651
BFGS:   45 04:56:44      -46.208778        0.065199
BFGS:   46 04:56:44      -46.209023        0.046404
