      Step     Time          Energy          fmax
BFGS:    0 04:56:51      -45.203247        4.624581
BFGS:    1 04:56:51      -45.445602        1.971431
BFGS:    2 04:56:51      -45.599037        1.093310
BFGS:    3 04:56:51      -45.744324        1.026434
BFGS:    4 04:56:51      -45.809029        0.992184
BFGS:    5 04:56:51      -45.862667        0.926795
BFGS:    6 04:56:51      -45.956150        1.025477
BFGS:    7 04:56:51      -46.024963        1.096695
BFGS:    8 04:56:51      -46.085068        0.808706
BFGS:    9 04:56:51      -46.137245        0.659790
BFGS:   10 04:56:51      -46.179543        0.706085
BFGS:   11 04:56:51      -46.212570        0.518965
BFGS:   12 04:56:51      -46.229355        0.414434
BFGS:   13 04:56:51      -46.236748        0.312133
BFGS:   14 04:56:51      -46.239498        0.228427
BFGS:   15 04:56:52      -46.241558        0.165921
BFGS:   16 04:56:52      -46.242863        0.144359
BFGS:   17 04:56:52      -46.243866        0.076895
BFGS:   18 04:56:52      -46.244442        0.075135
BFGS:   19 04:56:52      -46.245102        0.090891
BFGS:   20 04:56:52      -46.246197        0.099487
BFGS:   21 04:56:52      -46.247738        0.133644
BFGS:   22 04:56:52      -46.249252        0.125866
BFGS:   23 04:56:52      -46.250374        0.106996
BFGS:   24 04:56:52      -46.251339        0.136597
BFGS:   25 04:56:52      -46.252495        0.134891
BFGS:   26 04:56:52      -46.253517        0.090355
BFGS:   27 04:56:52      -46.254063        0.059645
BFGS:   28 04:56:52      -46.254314        0.055630
BFGS:   29 04:56:52      -46.254562        0.051112
BFGS:   30 04:56:52      -46.255146        0.068433
BFGS:   31 04:56:52      -46.256321        0.094156
BFGS:   32 04:56:52      -46.258217        0.100096
BFGS:   33 04:56:52      -46.259621        0.111464
BFGS:   34 04:56:52      -46.260258        0.089524
BFGS:   35 04:56:52      -46.260864        0.070668
BFGS:   36 04:56:52      -46.261650        0.098672
BFGS:   37 04:56:52      -46.263309        0.116658
BFGS:   38 04:56:52      -46.265228        0.134288
BFGS:   39 04:56:52      -46.266811        0.128226
BFGS:   40 04:56:52      -46.267765        0.108161
BFGS:   41 04:56:52      -46.268272        0.086573
BFGS:   42 04:56:52      -46.268681        0.091810
BFGS:   43 04:56:52      -46.269188        0.074491
BFGS:   44 04:56:52      -46.269482        0.043840
