      Step     Time          Energy          fmax
BFGS:    0 04:56:45      -45.773148        1.557598
BFGS:    1 04:56:45      -45.822823        0.847842
BFGS:    2 04:56:45      -45.853157        0.728170
BFGS:    3 04:56:45      -45.928402        0.920860
BFGS:    4 04:56:45      -45.953705        0.718936
BFGS:    5 04:56:45      -46.008698        0.587167
BFGS:    6 04:56:45      -46.025406        0.560637
BFGS:    7 04:56:45      -46.068512        0.500159
BFGS:    8 04:56:45      -46.081169        0.602335
BFGS:    9 04:56:45      -46.095253        0.353385
BFGS:   10 04:56:45      -46.101498        0.280844
BFGS:   11 04:56:45      -46.112274        0.345259
BFGS:   12 04:56:45      -46.121002        0.398748
BFGS:   13 04:56:45      -46.131042        0.345999
BFGS:   14 04:56:45      -46.140034        0.318133
BFGS:   15 04:56:45      -46.148193        0.293200
BFGS:   16 04:56:45      -46.155243        0.219396
BFGS:   17 04:56:45      -46.159374        0.162077
BFGS:   18 04:56:45      -46.160774        0.157026
BFGS:   19 04:56:45      -46.162029        0.158262
BFGS:   20 04:56:45      -46.164970        0.202901
BFGS:   21 04:56:45      -46.169006        0.402378
BFGS:   22 04:56:45      -46.172577        0.228001
BFGS:   23 04:56:45      -46.175888        0.242265
BFGS:   24 04:56:45      -46.177536        0.181885
BFGS:   25 04:56:45      -46.179962        0.226770
BFGS:   26 04:56:45      -46.182281        0.253669
BFGS:   27 04:56:45      -46.185654        0.280639
BFGS:   28 04:56:45      -46.188393        0.152547
BFGS:   29 04:56:45      -46.190113        0.148589
BFGS:   30 04:56:45      -46.191189        0.230908
BFGS:   31 04:56:45      -46.192116        0.127566
BFGS:   32 04:56:45      -46.193150        0.134324
BFGS:   33 04:56:45      -46.194199        0.209983
BFGS:   34 04:56:45      -46.195030        0.198478
BFGS:   35 04:56:45      -46.195755        0.133760
BFGS:   36 04:56:45      -46.196781        0.102094
BFGS:   37 04:56:45      -46.198895        0.140980
BFGS:   38 04:56:45      -46.202003        0.200925
BFGS:   39 04:56:45      -46.204140        0.258740
BFGS:   40 04:56:45      -46.199669        0.449229
BFGS:   41 04:56:45      -46.208679        0.214524
BFGS:   42 04:56:45      -46.211121        0.198377
BFGS:   43 04:56:45      -46.220497        0.354831
BFGS:   44 04:56:45      -46.222427        0.294541
BFGS:   45 04:56:45      -46.225491        0.103726
BFGS:   46 04:56:45      -46.225838        0.068621
BFGS:   47 04:56:45      -46.226006        0.033027
