      Step     Time          Energy          fmax
BFGS:    0 04:56:48      -45.841709        0.898116
BFGS:    1 04:56:48      -45.865871        0.562195
BFGS:    2 04:56:48      -45.882725        0.584153
BFGS:    3 04:56:48      -45.908234        0.559957
BFGS:    4 04:56:48      -45.923626        0.592938
BFGS:    5 04:56:48      -45.943707        0.631488
BFGS:    6 04:56:48      -45.961327        0.426116
BFGS:    7 04:56:48      -45.969707        0.359427
BFGS:    8 04:56:48      -45.975574        0.277409
BFGS:    9 04:56:48      -45.985146        0.296819
BFGS:   10 04:56:48      -45.990314        0.289728
BFGS:   11 04:56:48      -45.994396        0.242637
BFGS:   12 04:56:48      -45.999176        0.221542
BFGS:   13 04:56:48      -46.006149        0.312077
BFGS:   14 04:56:48      -46.016163        0.567850
BFGS:   15 04:56:48      -46.029919        0.534113
BFGS:   16 04:56:48      -46.043907        0.562330
BFGS:   17 04:56:48      -46.059284        0.310569
BFGS:   18 04:56:48      -46.071812        0.500871
BFGS:   19 04:56:48      -46.078148        0.501827
BFGS:   20 04:56:48      -46.080887        0.254934
BFGS:   21 04:56:49      -46.081924        0.133327
BFGS:   22 04:56:49      -46.082855        0.163849
BFGS:   23 04:56:49      -46.086933        0.336662
BFGS:   24 04:56:49      -46.090256        0.328440
BFGS:   25 04:56:49      -46.092804        0.181323
BFGS:   26 04:56:49      -46.094437        0.145369
BFGS:   27 04:56:49      -46.095604        0.141729
BFGS:   28 04:56:49      -46.097244        0.227183
BFGS:   29 04:56:49      -46.099545        0.216768
BFGS:   30 04:56:49      -46.100971        0.104243
BFGS:   31 04:56:49      -46.101582        0.072799
BFGS:   32 04:56:49      -46.102089        0.122794
BFGS:   33 04:56:49      -46.102993        0.182808
BFGS:   34 04:56:49      -46.104187        0.184371
BFGS:   35 04:56:49      -46.105259        0.103388
BFGS:   36 04:56:49      -46.106064        0.091564
BFGS:   37 04:56:49      -46.106800        0.136937
BFGS:   38 04:56:49      -46.107834        0.245257
BFGS:   39 04:56:49      -46.110172        0.402784
BFGS:   40 04:56:49      -46.114937        0.557316
BFGS:   41 04:56:49      -46.122242        0.557147
BFGS:   42 04:56:49      -46.127296        0.313398
BFGS:   43 04:56:49      -46.128986        0.452028
BFGS:   44 04:56:49      -46.138138        0.353790
BFGS:   45 04:56:49      -46.146397        0.314345
BFGS:   46 04:56:49      -46.161198        0.750691
BFGS:   47 04:56:49      -46.165398        0.490875
BFGS:   48 04:56:49      -46.171165        0.203187
BFGS:   49 04:56:49      -46.172821        0.341500
BFGS:   50 04:56:49      -46.176655        0.364391
BFGS:   51 04:56:49      -46.179886        0.364094
BFGS:   52 04:56:49      -46.184349        0.288087
BFGS:   53 04:56:49      -46.187527        0.429776
BFGS:   54 04:56:49      -46.193581        0.261128
BFGS:   55 04:56:49      -46.199940        0.431871
BFGS:   56 04:56:49      -46.209846        0.297925
BFGS:   57 04:56:49      -46.209652        0.778529
BFGS:   58 04:56:49      -46.217686        0.193060
BFGS:   59 04:56:49      -46.217880        0.398603
BFGS:   60 04:56:49      -46.221794        0.242446
BFGS:   61 04:56:49      -46.223682        0.246364
BFGS:   62 04:56:49      -46.225712        0.175446
BFGS:   63 04:56:49      -46.228844        0.402931
BFGS:   64 04:56:49      -46.228756        0.455384
BFGS:   65 04:56:49      -46.233780        0.155972
BFGS:   66 04:56:49      -46.235531        0.274604
BFGS:   67 04:56:49      -46.237682        0.180399
BFGS:   68 04:56:49      -46.238251        0.445058
BFGS:   69 04:56:49      -46.241253        0.102805
BFGS:   70 04:56:49      -46.242447        0.093696
BFGS:   71 04:56:49      -46.242218        0.370498
BFGS:   72 04:56:49      -46.243832        0.070234
BFGS:   73 04:56:49      -46.244411        0.081541
BFGS:   74 04:56:49      -46.244789        0.352081
BFGS:   75 04:56:49      -46.245850        0.070844
BFGS:   76 04:56:50      -46.246483        0.057904
BFGS:   77 04:56:50      -46.246693        0.323979
BFGS:   78 04:56:50      -46.247929        0.050310
BFGS:   79 04:56:50      -46.248463        0.049138
