      Step     Time          Energy          fmax
BFGS:    0 04:56:50      -45.847679        1.022916
BFGS:    1 04:56:50      -45.872749        0.626132
BFGS:    2 04:56:50      -45.890106        0.654273
BFGS:    3 04:56:50      -45.931862        0.597541
BFGS:    4 04:56:50      -45.948166        0.610706
BFGS:    5 04:56:50      -45.976776        0.592196
BFGS:    6 04:56:50      -45.988979        0.414790
BFGS:    7 04:56:50      -45.996521        0.350877
BFGS:    8 04:56:50      -46.005760        0.302697
BFGS:    9 04:56:50      -46.013763        0.295756
BFGS:   10 04:56:50      -46.018009        0.266450
BFGS:   11 04:56:50      -46.021717        0.216303
BFGS:   12 04:56:50      -46.027992        0.290570
BFGS:   13 04:56:50      -46.036415        0.404401
BFGS:   14 04:56:50      -46.048409        0.562714
BFGS:   15 04:56:50      -46.061455        0.594976
BFGS:   16 04:56:50      -46.073956        0.479353
BFGS:   17 04:56:50      -46.086937        0.371374
BFGS:   18 04:56:50      -46.097820        0.190644
BFGS:   19 04:56:50      -46.100857        0.393810
BFGS:   20 04:56:50      -46.101646        0.519777
BFGS:   21 04:56:50      -46.104153        0.164504
BFGS:   22 04:56:50      -46.106010        0.177639
BFGS:   23 04:56:50      -46.111572        0.365754
BFGS:   24 04:56:50      -46.115177        0.345942
BFGS:   25 04:56:50      -46.118008        0.189170
BFGS:   26 04:56:50      -46.119450        0.103879
BFGS:   27 04:56:50      -46.120533        0.149446
BFGS:   28 04:56:50      -46.121922        0.196420
BFGS:   29 04:56:50      -46.123253        0.185162
BFGS:   30 04:56:50      -46.124115        0.133385
BFGS:   31 04:56:50      -46.124592        0.071018
BFGS:   32 04:56:50      -46.125004        0.067979
BFGS:   33 04:56:50      -46.125729        0.105928
BFGS:   34 04:56:50      -46.126869        0.175346
BFGS:   35 04:56:50      -46.128349        0.189730
BFGS:   36 04:56:50      -46.129375        0.066745
BFGS:   37 04:56:50      -46.129547        0.042128
