      Step     Time          Energy          fmax
BFGS:    0 04:56:40      -45.881435        1.024104
BFGS:    1 04:56:40      -45.907532        0.684276
BFGS:    2 04:56:42      -45.928368        0.714001
BFGS:    3 04:56:42      -45.962624        0.648958
BFGS:    4 04:56:42      -45.979317        0.667944
BFGS:    5 04:56:42      -46.003880        0.647666
BFGS:    6 04:56:42      -46.019932        0.441418
BFGS:    7 04:56:42      -46.027840        0.375219
BFGS:    8 04:56:42      -46.038193        0.311907
BFGS:    9 04:56:43      -46.046379        0.297018
BFGS:   10 04:56:43      -46.051098        0.278042
BFGS:   11 04:56:43      -46.054909        0.232469
BFGS:   12 04:56:43      -46.060303        0.267306
BFGS:   13 04:56:43      -46.067886        0.395927
BFGS:   14 04:56:43      -46.080311        0.520950
BFGS:   15 04:56:43      -46.094425        0.588070
BFGS:   16 04:56:43      -46.107224        0.425660
BFGS:   17 04:56:43      -46.119202        0.345700
BFGS:   18 04:56:43      -46.128830        0.194765
BFGS:   19 04:56:43      -46.130798        0.383436
BFGS:   20 04:56:43      -46.132870        0.249053
BFGS:   21 04:56:43      -46.133747        0.180192
BFGS:   22 04:56:43      -46.138180        0.231958
BFGS:   23 04:56:43      -46.140121        0.253636
BFGS:   24 04:56:43      -46.141685        0.173739
BFGS:   25 04:56:43      -46.142853        0.120049
BFGS:   26 04:56:43      -46.144222        0.136507
BFGS:   27 04:56:43      -46.145702        0.179987
BFGS:   28 04:56:43      -46.146854        0.138093
BFGS:   29 04:56:43      -46.147419        0.073867
BFGS:   30 04:56:43      -46.147888        0.066709
BFGS:   31 04:56:43      -46.148472        0.099541
BFGS:   32 04:56:43      -46.148895        0.117063
BFGS:   33 04:56:43      -46.149208        0.079224
BFGS:   34 04:56:43      -46.149403        0.041129
