      Step     Time          Energy          fmax
BFGS:    0 04:56:52      -45.413746        2.067447
BFGS:    1 04:56:52      -45.507214        1.200558
BFGS:    2 04:56:52      -45.614456        1.157287
BFGS:    3 04:56:52      -45.707817        0.816304
BFGS:    4 04:56:52      -45.759796        0.912209
BFGS:    5 04:56:52      -45.803768        0.902520
BFGS:    6 04:56:52      -45.909698        1.092103
BFGS:    7 04:56:52      -45.974815        1.005305
BFGS:    8 04:56:52      -46.045937        0.969419
BFGS:    9 04:56:52      -46.118793        0.767457
BFGS:   10 04:56:52      -46.170876        0.541827
BFGS:   11 04:56:52      -46.197773        0.542373
BFGS:   12 04:56:52      -46.207977        0.387273
BFGS:   13 04:56:52      -46.211052        0.235378
BFGS:   14 04:56:52      -46.213421        0.153626
BFGS:   15 04:56:52      -46.218781        0.263021
BFGS:   16 04:56:52      -46.220673        0.217209
BFGS:   17 04:56:52      -46.222363        0.153251
BFGS:   18 04:56:52      -46.223782        0.167171
BFGS:   19 04:56:52      -46.227112        0.270525
BFGS:   20 04:56:52      -46.232040        0.398013
BFGS:   21 04:56:52      -46.237377        0.404688
BFGS:   22 04:56:52      -46.241299        0.269349
BFGS:   23 04:56:53      -46.244198        0.163816
BFGS:   24 04:56:53      -46.246418        0.174771
BFGS:   25 04:56:53      -46.248741        0.200661
BFGS:   26 04:56:53      -46.250916        0.186073
BFGS:   27 04:56:53      -46.252739        0.128804
BFGS:   28 04:56:53      -46.254177        0.101534
BFGS:   29 04:56:53      -46.255318        0.137207
BFGS:   30 04:56:53      -46.256557        0.162725
BFGS:   31 04:56:53      -46.258320        0.166716
BFGS:   32 04:56:53      -46.260063        0.088674
BFGS:   33 04:56:53      -46.261147        0.083779
BFGS:   34 04:56:53      -46.262512        0.134581
BFGS:   35 04:56:53      -46.261662        0.503405
BFGS:   36 04:56:53      -46.265583        0.221476
BFGS:   37 04:56:53      -46.267826        0.230469
BFGS:   38 04:56:53      -46.270870        0.500119
BFGS:   39 04:56:53      -46.275734        0.218658
BFGS:   40 04:56:53      -46.279011        0.138000
BFGS:   41 04:56:53      -46.282486        0.130950
BFGS:   42 04:56:53      -46.283195        0.101961
BFGS:   43 04:56:53      -46.283894        0.068312
BFGS:   44 04:56:53      -46.284500        0.074544
BFGS:   45 04:56:53      -46.285149        0.088193
BFGS:   46 04:56:53      -46.285755        0.084208
BFGS:   47 04:56:53      -46.286270        0.123638
BFGS:   48 04:56:53      -46.286659        0.067677
BFGS:   49 04:56:53      -46.286953        0.035619
