      Step     Time          Energy          fmax
BFGS:    0 04:56:53      -45.998112        1.152683
BFGS:    1 04:56:53      -46.038891        0.650583
BFGS:    2 04:56:53      -46.063297        0.579981
BFGS:    3 04:56:53      -46.089615        0.434737
BFGS:    4 04:56:53      -46.102879        0.433706
BFGS:    5 04:56:53      -46.123276        0.452602
BFGS:    6 04:56:53      -46.136303        0.355255
BFGS:    7 04:56:53      -46.146172        0.382550
BFGS:    8 04:56:53      -46.151962        0.327062
BFGS:    9 04:56:53      -46.163139        0.344813
BFGS:   10 04:56:53      -46.171932        0.303038
BFGS:   11 04:56:53      -46.176937        0.231377
BFGS:   12 04:56:53      -46.180447        0.212800
BFGS:   13 04:56:53      -46.185066        0.283628
BFGS:   14 04:56:53      -46.191376        0.440630
BFGS:   15 04:56:53      -46.201027        0.482161
BFGS:   16 04:56:53      -46.212524        0.560000
BFGS:   17 04:56:53      -46.222591        0.383356
BFGS:   18 04:56:53      -46.230812        0.401254
BFGS:   19 04:56:53      -46.240559        0.299783
BFGS:   20 04:56:53      -46.237751        1.039693
BFGS:   21 04:56:53      -46.249481        0.309082
BFGS:   22 04:56:53      -46.251911        0.242813
BFGS:   23 04:56:53      -46.254990        0.345718
BFGS:   24 04:56:53      -46.257107        0.121667
BFGS:   25 04:56:53      -46.259777        0.235432
BFGS:   26 04:56:53      -46.263760        0.271644
BFGS:   27 04:56:54      -46.269138        0.275380
BFGS:   28 04:56:54      -46.277542        0.303690
BFGS:   29 04:56:54      -46.288528        0.424531
BFGS:   30 04:56:54      -46.300259        0.382968
BFGS:   31 04:56:54      -46.306396        0.357150
BFGS:   32 04:56:54      -46.308548        0.148889
BFGS:   33 04:56:54      -46.311344        0.145956
BFGS:   34 04:56:54      -46.313931        0.159629
BFGS:   35 04:56:54      -46.316998        0.179651
BFGS:   36 04:56:54      -46.320805        0.225358
BFGS:   37 04:56:54      -46.326710        0.256596
BFGS:   38 04:56:54      -46.333805        0.299137
BFGS:   39 04:56:54      -46.341919        0.331092
BFGS:   40 04:56:54      -46.348232        0.431754
BFGS:   41 04:56:54      -46.335224        0.856453
BFGS:   42 04:56:54      -46.357307        0.208365
BFGS:   43 04:56:54      -46.359871        0.155507
BFGS:   44 04:56:54      -46.362751        0.164755
BFGS:   45 04:56:54      -46.363426        0.117645
BFGS:   46 04:56:54      -46.363918        0.074165
BFGS:   47 04:56:54      -46.364372        0.052019
BFGS:   48 04:56:54      -46.364552        0.051803
BFGS:   49 04:56:54      -46.364803        0.045775
