      Step     Time          Energy          fmax
BFGS:    0 04:56:45      -45.767048        1.872160
BFGS:    1 04:56:45      -45.861065        1.514805
BFGS:    2 04:56:45      -45.968391        0.816823
BFGS:    3 04:56:45      -46.011002        0.701693
BFGS:    4 04:56:45      -46.030182        0.428575
BFGS:    5 04:56:46      -46.045090        0.440863
BFGS:    6 04:56:46      -46.062538        0.553312
BFGS:    7 04:56:46      -46.089649        0.855724
BFGS:    8 04:56:46      -46.120575        0.813984
BFGS:    9 04:56:46      -46.144135        0.409803
BFGS:   10 04:56:46      -46.152470        0.303130
BFGS:   11 04:56:46      -46.157734        0.319860
BFGS:   12 04:56:46      -46.162064        0.269292
BFGS:   13 04:56:46      -46.165405        0.222226
BFGS:   14 04:56:46      -46.167877        0.204265
BFGS:   15 04:56:46      -46.171093        0.194199
BFGS:   16 04:56:46      -46.176105        0.285140
BFGS:   17 04:56:46      -46.181488        0.269624
BFGS:   18 04:56:46      -46.186241        0.232823
BFGS:   19 04:56:46      -46.190170        0.259251
BFGS:   20 04:56:46      -46.194496        0.240287
BFGS:   21 04:56:46      -46.198353        0.203170
BFGS:   22 04:56:46      -46.201054        0.183654
BFGS:   23 04:56:46      -46.202835        0.208210
BFGS:   24 04:56:46      -46.205276        0.208591
BFGS:   25 04:56:46      -46.209366        0.202485
BFGS:   26 04:56:46      -46.214043        0.242911
BFGS:   27 04:56:46      -46.218056        0.187570
BFGS:   28 04:56:46      -46.220955        0.168743
BFGS:   29 04:56:46      -46.223366        0.134980
BFGS:   30 04:56:46      -46.225842        0.173977
BFGS:   31 04:56:46      -46.228226        0.184262
BFGS:   32 04:56:46      -46.229988        0.138469
BFGS:   33 04:56:46      -46.231308        0.090305
BFGS:   34 04:56:46      -46.232143        0.085602
BFGS:   35 04:56:46      -46.233253        0.229534
BFGS:   36 04:56:46      -46.235256        0.184586
BFGS:   37 04:56:46      -46.240288        0.313220
BFGS:   38 04:56:46      -46.246609        0.239500
BFGS:   39 04:56:46      -46.250271        0.154206
BFGS:   40 04:56:46      -46.238487        1.029103
BFGS:   41 04:56:46      -46.252934        0.159835
BFGS:   42 04:56:46      -46.254395        0.141792
BFGS:   43 04:56:46      -46.257385        0.177821
BFGS:   44 04:56:46      -46.259464        0.196878
BFGS:   45 04:56:46      -46.261681        0.127725
BFGS:   46 04:56:46      -46.262455        0.122763
BFGS:   47 04:56:46      -46.263672        0.096761
BFGS:   48 04:56:46      -46.264702        0.114582
BFGS:   49 04:56:46      -46.265930        0.155151
BFGS:   50 04:56:46      -46.267452        0.157111
BFGS:   51 04:56:46      -46.269226        0.194279
BFGS:   52 04:56:46      -46.270973        0.113650
BFGS:   53 04:56:46      -46.272030        0.257992
BFGS:   54 04:56:46      -46.273129        0.213076
BFGS:   55 04:56:46      -46.273659        0.147279
BFGS:   56 04:56:46      -46.274345        0.079385
BFGS:   57 04:56:46      -46.275230        0.090627
BFGS:   58 04:56:46      -46.276794        0.114013
BFGS:   59 04:56:47      -46.278492        0.151177
BFGS:   60 04:56:47      -46.280327        0.150456
BFGS:   61 04:56:47      -46.282288        0.117165
BFGS:   62 04:56:47      -46.284042        0.055368
BFGS:   63 04:56:47      -46.284992        0.085298
BFGS:   64 04:56:47      -46.285397        0.067393
BFGS:   65 04:56:47      -46.285583        0.034552
