name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site27_rot12,27,fcc,12.0,-170.81716918945312,-174.7906951904297,-4.0958251953125,161,True
site16_rot12,16,bridge,12.0,-170.8029327392578,-174.65606689453125,-3.9611968994140625,157,True
site13_rot12,13,bridge,12.0,-170.8185272216797,-174.65220642089844,-3.95733642578125,226,True
site4_rot12,4,top,12.0,-170.8172149658203,-174.63462829589844,-3.93975830078125,173,True
site22_rot12,22,bridge,12.0,-170.8014678955078,-174.57879638671875,-3.8839263916015625,206,True
site8_rot12,8,top,12.0,-170.7722930908203,-174.53793334960938,-3.8430633544921875,192,True
site6_rot12,6,top,12.0,-170.75770568847656,-174.53280639648438,-3.8379364013671875,187,True
site7_rot12,7,top,12.0,-170.77197265625,-174.4925537109375,-3.7976837158203125,221,True
site29_rot12,29,hcp,12.0,-170.8141632080078,-174.47543334960938,-3.7805633544921875,200,True
site21_rot12,21,bridge,12.0,-170.79637145996094,-174.4742889404297,-3.7794189453125,185,True
site14_rot12,14,bridge,12.0,-170.81536865234375,-174.47366333007812,-3.7787933349609375,198,True
site11_rot12,11,bridge,12.0,-170.8232879638672,-174.43328857421875,-3.7384185791015625,168,True
site1_rot12,1,top,12.0,-170.8372039794922,-174.40185546875,-3.7069854736328125,158,True
site23_rot12,23,bridge,12.0,-170.7642822265625,-174.32858276367188,-3.6337127685546875,126,True
site32_rot12,32,hcp,12.0,-170.7865753173828,-174.32723999023438,-3.6323699951171875,139,True
site3_rot12,3,top,12.0,-170.79026794433594,-174.32566833496094,-3.63079833984375,155,True
site19_rot12,19,bridge,12.0,-170.78916931152344,-174.3246307373047,-3.6297607421875,143,True
site31_rot12,31,fcc,12.0,-170.8040771484375,-174.3164520263672,-3.62158203125,161,True
site20_rot12,20,bridge,12.0,-170.80067443847656,-174.2561798095703,-3.561309814453125,141,True
site18_rot12,18,bridge,12.0,-170.81301879882812,-174.25347900390625,-3.5586090087890625,177,True
site2_rot12,2,top,12.0,-170.81993103027344,-174.23709106445312,-3.5422210693359375,133,True
site15_rot12,15,bridge,12.0,-170.8116455078125,-174.22689819335938,-3.5320281982421875,128,True
site24_rot12,24,bridge,12.0,-170.7752227783203,-174.218505859375,-3.5236358642578125,146,True
site26_rot12,26,hcp,12.0,-170.79400634765625,-174.20680236816406,-3.511932373046875,125,True
site28_rot12,28,fcc,12.0,-170.7896270751953,-174.2004852294922,-3.505615234375,148,True
site17_rot12,17,bridge,12.0,-170.77427673339844,-174.1680450439453,-3.473175048828125,144,True
site0_rot12,0,top,12.0,-170.8105926513672,-174.16546630859375,-3.4705963134765625,151,True
site9_rot12,9,bridge,12.0,-170.82435607910156,-174.10089111328125,-3.4060211181640625,213,True
site5_rot12,5,top,12.0,-170.8123321533203,-174.05210876464844,-3.35723876953125,135,True
site30_rot12,30,hcp,12.0,-170.81312561035156,-174.0058135986328,-3.310943603515625,134,True
site12_rot12,12,bridge,12.0,-170.8159942626953,-173.89430236816406,-3.199432373046875,108,True
site10_rot12,10,bridge,12.0,-170.79595947265625,-173.67169189453125,-2.9768218994140625,87,True
site25_rot12,25,fcc,12.0,-170.81333923339844,-173.6572723388672,-2.96240234375,104,True
